"","persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
"56",0,0,4,17,1,0,1,1,3,3,0
"105",1,0,10,19,2,0,0,7,3,4,1
"106",0,1,9,7,3,0,0,3,1,4,1
"128",0,0,8,12,2,1,1,1,3,4,1
"148",1,0,3,10,3,1,1,1,3,3,1
"257",0,1,6,19,4,1,0,7,3,2,1
"283",0,0,8,26,3,0,0,6,2,3,1
"302",0,0,11,NA,1,1,1,2,2,1,0
"506",0,0,1,NA,2,1,1,7,3,2,0
"509",1,0,8,10,2,1,1,1,3,2,1
"590",0,0,8,1,3,1,1,1,3,1,1
"651",0,1,NA,NA,3,0,1,1,3,3,0
"748",0,1,3,9,2,1,1,5,1,3,1
"814",1,1,6,24,4,0,1,6,2,3,1
"825",0,0,5,NA,2,0,1,1,3,3,1
"886",0,0,6,13,2,0,1,2,2,3,1
"913",NA,NA,5,1,2,1,1,2,2,2,1
"978",0,0,4,17,4,1,1,3,1,3,1
"1027",0,0,6,14,2,0,1,1,3,3,1
"1088",1,0,11,NA,3,0,0,7,3,4,1
"1120",0,0,2,NA,2,0,1,2,2,1,1
"1229",0,1,8,18,1,1,1,1,3,3,1
"1281",0,1,8,23,3,0,0,5,1,1,1
"1295",1,0,NA,2,NA,1,0,2,2,2,0
"1372",1,0,9,2,3,1,1,1,3,1,1
"1483",0,1,11,12,1,1,1,2,2,3,0
"1500",0,1,9,22,4,1,0,3,1,1,0
"1581",1,0,13,10,4,1,0,1,3,3,1
"1630",0,1,8,24,4,0,1,1,3,3,1
"1688",NA,NA,1,1,2,1,1,NA,NA,1,0
"1689",0,0,5,5,2,0,1,3,1,4,0
"1724",1,0,6,1,2,0,1,3,1,1,NA
"1785",0,1,4,NA,2,0,1,2,2,2,0
"1820",0,1,2,3,3,1,1,3,1,1,0
"1948",1,0,4,12,4,1,0,6,2,4,1
"2095",0,1,7,15,4,0,0,6,2,3,1
"2112",1,0,8,19,NA,0,1,5,1,2,1
"2151",0,1,10,12,3,1,1,1,3,1,1
"2160",1,1,12,1,2,1,0,7,3,4,1
"2181",0,0,12,1,4,0,0,7,3,3,1
"2429",1,1,12,21,2,0,0,6,2,3,1
"2458",0,0,11,13,2,0,0,5,1,3,1
"2519",NA,NA,8,22,4,0,1,1,3,2,1
"2541",1,1,7,10,3,1,1,1,3,4,1
"2547",1,1,10,1,3,0,1,3,1,4,1
"2585",1,1,9,21,3,0,1,7,3,4,1
"2621",0,0,11,15,5,0,0,2,2,1,1
"2668",1,1,7,24,3,0,0,3,1,3,1
"2721",0,1,10,12,1,1,0,1,3,1,1
"3061",1,1,8,2,4,0,1,1,3,4,1
"3260",NA,NA,4,21,2,0,0,6,2,1,0
"3310",NA,NA,13,16,3,0,0,2,2,3,1
"3323",0,1,7,3,2,1,1,1,3,1,1
"3352",1,1,8,24,4,0,0,6,2,4,1
"3362",0,1,8,27,5,1,1,1,3,3,1
"3376",0,1,12,19,5,0,0,2,2,2,1
"3390",0,0,6,13,3,1,1,7,3,0,1
"3417",1,0,2,2,4,0,0,6,2,2,1
"3788",1,0,6,7,2,1,0,7,3,1,1
"3789",NA,NA,10,18,4,1,1,2,2,4,1
"3833",0,0,6,24,4,0,1,4,0,1,1
"3883",1,1,11,9,2,0,0,7,3,4,1
"3885",0,1,10,23,4,0,0,6,2,4,1
"3920",1,0,12,9,3,1,1,1,3,4,1
"3991",0,0,12,7,3,1,1,4,0,1,0
"4017",1,1,6,3,3,1,1,4,0,3,0
"4234",NA,NA,2,15,4,1,1,3,1,2,0
"4242",1,0,6,25,4,0,0,7,3,2,1
"4308",1,1,9,26,5,1,0,1,3,2,1
"4345",0,0,8,6,3,0,0,3,1,3,1
"4362",1,1,7,16,3,0,0,2,2,3,1
"4667",0,0,12,14,2,0,1,1,3,3,1
"4734",0,1,5,NA,5,0,0,3,1,3,1
"4814",1,1,11,24,4,1,0,3,1,3,1
"4832",0,0,4,1,2,1,1,4,0,1,0
"4933",0,0,2,9,2,0,1,3,1,1,0
"4959",0,0,6,1,2,0,0,4,0,0,0
"5021",1,1,7,17,1,1,0,2,2,3,0
"5045",1,0,7,16,3,0,0,5,1,4,1
"5160",1,1,9,20,5,1,0,4,0,3,1
"5179",0,1,4,14,3,1,0,4,0,1,0
"5198",1,1,7,NA,1,1,0,4,0,2,1
"5239",0,0,4,7,4,1,1,2,2,2,0
"5386",0,0,3,13,3,1,0,6,2,3,1
"5418",0,1,8,25,5,0,0,7,3,2,1
"5432",0,0,7,1,5,1,0,3,1,2,1
"5468",0,1,5,1,3,0,0,2,2,1,1
"5509",0,0,6,8,4,0,0,6,2,3,1
"5511",1,0,5,17,3,0,0,6,2,2,1
"5544",1,0,3,2,1,1,1,1,3,3,1
"5549",NA,NA,5,2,2,1,0,2,2,2,0
"5584",0,0,1,19,2,1,1,6,2,2,0
"5643",0,0,8,12,1,1,0,7,3,3,1
"5670",NA,NA,7,1,1,1,1,1,3,2,1
"5724",0,0,10,12,1,1,1,1,3,2,0
"5745",0,0,5,25,5,1,0,3,1,2,1
"5760",1,1,4,3,2,1,1,2,2,2,0
"5776",0,0,3,1,2,1,0,2,2,0,0
"5901",NA,NA,6,11,3,1,0,3,1,2,1
"5902",0,0,10,9,2,1,0,4,0,3,1
