"","persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
"34",0,1,NA,NA,2,1,1,3,1,1,1
"63",1,1,7,11,1,1,0,1,3,4,1
"213",0,0,5,20,4,0,1,4,0,0,1
"235",1,1,8,27,4,1,0,1,3,3,1
"394",0,0,10,7,1,0,0,4,0,1,0
"561",0,1,6,15,1,1,1,1,3,1,1
"608",0,0,9,NA,1,1,1,1,3,3,1
"653",1,1,11,5,1,1,1,1,3,4,1
"842",0,0,8,5,2,1,1,1,3,1,0
"869",0,0,7,24,5,0,0,6,2,3,0
"872",0,0,13,7,4,1,0,7,3,3,0
"1008",1,0,8,NA,1,0,1,1,3,1,0
"1036",0,0,3,22,5,0,0,3,1,2,0
"1070",1,0,4,19,4,1,1,3,1,2,1
"1100",0,1,13,NA,3,1,0,3,1,3,1
"1128",0,0,6,27,4,0,1,1,3,3,1
"1156",0,0,13,NA,2,1,0,3,1,3,1
"1198",1,0,9,NA,2,0,1,1,3,2,1
"1201",1,1,11,5,2,1,1,3,1,2,0
"1254",0,1,5,10,3,0,0,2,2,1,1
"1314",1,1,3,14,2,1,1,1,3,1,1
"1403",0,0,5,25,4,0,0,6,2,4,1
"1418",1,1,10,5,2,0,1,1,3,4,1
"1443",0,0,NA,NA,1,1,1,4,0,2,0
"1489",0,0,6,5,2,1,1,5,1,1,0
"1675",0,0,4,NA,5,0,0,6,2,3,1
"1764",1,0,6,5,3,1,0,7,3,3,0
"1849",0,1,11,NA,3,0,0,1,3,1,0
"2127",0,1,11,9,3,1,0,2,2,3,1
"2189",0,0,12,11,2,1,0,4,0,2,0
"2232",1,1,6,12,2,1,0,1,3,1,1
"2260",1,1,13,17,3,1,0,3,1,3,1
"2275",1,1,9,18,2,0,0,7,3,3,1
"2313",0,0,10,26,2,1,0,6,2,2,1
"2325",1,1,11,22,4,1,1,3,1,2,1
"2333",NA,NA,5,20,3,1,1,1,3,3,1
"2445",1,0,7,25,2,0,0,6,2,3,0
"2456",0,0,1,24,3,0,1,2,2,1,1
"2480",0,0,10,20,4,0,0,1,3,3,1
"2491",1,1,9,20,3,0,0,5,1,2,1
"2591",0,1,6,8,3,0,0,4,0,3,1
"2621",0,0,11,15,5,0,0,2,2,1,1
"2635",0,0,6,23,4,0,0,6,2,1,1
"2781",0,1,6,25,4,1,1,7,3,2,1
"2828",1,1,8,28,4,1,0,7,3,3,1
"2868",0,0,12,17,2,0,0,7,3,3,1
"3041",1,1,12,7,1,1,1,1,3,3,1
"3174",0,0,8,12,2,0,0,6,2,1,1
"3241",0,1,12,22,5,1,1,3,1,3,1
"3256",1,1,9,28,3,1,0,7,3,1,0
"3377",0,1,13,17,5,0,0,3,1,3,1
"3380",0,1,6,8,2,1,0,6,2,2,0
"3390",0,0,6,13,3,1,1,7,3,0,1
"3408",0,0,9,17,5,1,0,4,0,3,1
"3430",1,0,7,25,5,1,0,3,1,2,1
"3607",0,0,4,18,4,0,1,4,0,3,1
"3639",0,0,9,25,4,0,0,4,0,2,1
"3677",0,1,8,11,3,0,0,7,3,1,1
"3749",0,1,13,23,5,0,0,7,3,2,1
"3841",1,1,1,13,3,0,1,2,2,3,0
"3903",0,1,5,24,5,0,0,2,2,3,1
"3969",0,0,9,17,3,0,0,1,3,3,1
"3997",1,1,10,13,1,1,0,1,3,2,0
"4026",0,1,8,9,2,0,0,6,2,3,1
"4044",0,1,6,25,5,0,1,5,1,2,1
"4070",0,0,1,1,3,0,0,2,2,3,0
"4072",1,1,1,5,3,0,1,4,0,1,0
"4105",1,0,11,24,2,1,0,2,2,3,1
"4328",1,0,11,11,4,0,0,5,1,4,1
"4343",0,0,11,7,1,0,1,2,2,2,1
"4419",0,1,8,13,4,1,0,2,2,1,1
"4470",1,1,7,9,3,0,1,4,0,4,0
"4539",1,1,12,13,2,0,0,7,3,4,1
"4681",1,1,2,4,4,1,0,2,2,2,1
"4810",0,1,2,1,3,1,1,2,2,3,1
"4823",1,0,10,18,4,1,1,3,1,3,1
"4867",0,1,12,16,2,0,1,2,2,2,1
"4928",0,1,8,1,NA,0,0,4,0,1,0
"4931",0,1,11,5,2,0,1,1,3,4,1
"5011",1,1,8,NA,4,1,1,2,2,2,1
"5017",0,0,6,20,3,1,0,7,3,1,1
"5026",1,1,10,22,3,1,0,1,3,4,1
"5134",1,0,3,15,5,0,0,2,2,3,1
"5156",0,0,13,17,1,1,0,6,2,3,1
"5194",0,1,2,7,2,0,1,4,0,4,1
"5335",1,0,1,NA,3,0,1,4,0,NA,0
"5473",0,0,5,15,4,1,0,2,2,3,1
"5492",0,1,10,2,2,1,0,2,2,2,1
"5497",0,1,11,1,3,0,1,1,3,1,1
"5591",0,1,6,1,2,0,1,1,3,2,1
"5658",1,1,2,11,1,0,1,2,2,1,1
"5698",1,0,11,15,3,0,1,1,3,4,1
"5729",0,0,8,5,3,1,0,2,2,3,1
"5751",1,0,8,21,4,0,0,5,1,4,1
"5797",0,0,10,15,3,1,1,7,3,3,1
"5826",0,1,5,1,3,0,1,2,2,3,1
"5834",0,1,13,21,4,1,0,1,3,2,1
"5902",0,0,10,9,2,1,0,4,0,3,1
"5905",0,1,4,20,4,1,0,5,1,2,1
"5906",1,1,11,27,5,1,0,3,1,3,1
